FAKEID,prob of Renewal,prob of Defect,Predicted Defect
296K65RM,1.0,0.0,0
552R69GQ,1.0,0.0,0
414P25OD,0.0,1.0,1
304G31YM,1.0,0.0,0
046D99HJ,1.0,0.0,0
381Z53WX,0.0,1.0,1
190F61SW,0.0,1.0,1
372K46KN,1.0,0.0,0
488Y37QG,1.0,0.0,0
924H06TG,1.0,0.0,0
846E95KF,0.0,1.0,1
876I92GD,0.0,1.0,1
181X89YI,0.25,0.75,1
972R38MI,1.0,0.0,0
686L86FM,1.0,0.0,0
690J40EG,0.0,1.0,1
763O95OC,0.0,1.0,1
868K30CR,1.0,0.0,0
997V48QN,1.0,0.0,0
347V67VA,0.0,1.0,1
477O63KH,0.0,1.0,1
844G43MU,1.0,0.0,0
799B65KJ,1.0,0.0,0
023A22OK,0.0,1.0,1
688N88KE,1.0,0.0,0
275T16PF,1.0,0.0,0
389V07XZ,1.0,0.0,0
476M36VB,1.0,0.0,0
260Y54FT,1.0,0.0,0
320U54WW,1.0,0.0,0
732L38GX,1.0,0.0,0
952E29ZI,0.0,1.0,1
664I88XG,1.0,0.0,0
004W13EA,0.0,1.0,1
250I41LJ,0.5,0.5,0
941C89CO,0.0,1.0,1
307S99FV,0.0,1.0,1
294E94ZX,0.0,1.0,1
146Q28FV,1.0,0.0,0
673A61JL,1.0,0.0,0
447I28ZF,1.0,0.0,0
255V47UD,1.0,0.0,0
603F06SQ,0.0,1.0,1
074C13NV,0.0,1.0,1
014V33IN,1.0,0.0,0
297I61BZ,1.0,0.0,0
715X29DB,0.0,1.0,1
001M79IJ,0.0,1.0,1
594G49AD,0.0,1.0,1
226G20AV,1.0,0.0,0
728H58MZ,0.0,1.0,1
195X84AU,1.0,0.0,0
835I77KG,1.0,0.0,0
219D93LL,0.0,1.0,1
401E35LA,0.0,1.0,1
305G27YG,0.0,1.0,1
163R65AX,1.0,0.0,0
956F65KY,0.0,1.0,1
601T31JB,1.0,0.0,0
938Z38RE,0.0,1.0,1
910N12IL,0.0,1.0,1
045Q13IH,1.0,0.0,0
383E70DE,0.0,1.0,1
414Z85CT,0.0,1.0,1
259H05ZZ,1.0,0.0,0
989Y21MG,1.0,0.0,0
905T33RH,0.0,1.0,1
412R17SQ,0.0,1.0,1
003T33DB,0.3333333333333333,0.6666666666666666,1
099Z65KH,0.5,0.5,0
425B94GH,1.0,0.0,0
300S64ZA,0.0,1.0,1
227E13GO,1.0,0.0,0
119U50DV,1.0,0.0,0
890Q01MS,0.0,1.0,1
445A15AN,1.0,0.0,0
295Z39BF,1.0,0.0,0
646F04XC,0.25,0.75,1
008T52WR,1.0,0.0,0
318L87WT,0.0,1.0,1
123J08KL,1.0,0.0,0
290W65MU,1.0,0.0,0
616T68OE,1.0,0.0,0
471G98JF,0.0,1.0,1
455Y83XI,0.0,1.0,1
913X48UY,0.0,1.0,1
276A66IL,0.0,1.0,1
387V02PR,0.0,1.0,1
928S13NH,0.0,1.0,1
448M01UW,0.0,1.0,1
153K98AB,1.0,0.0,0
698K44QI,0.0,1.0,1
013P90CX,1.0,0.0,0
890C87AW,1.0,0.0,0
124Y75GC,0.0,1.0,1
158T49LS,0.0,1.0,1
217B46GE,0.0,1.0,1
189Y61PS,0.0,1.0,1
373X86MF,1.0,0.0,0
634N63SZ,0.0,1.0,1
356M62XU,1.0,0.0,0
745V39OL,0.0,1.0,1
329D01ZM,0.0,1.0,1
144O95QO,1.0,0.0,0
130Q26AH,0.0,1.0,1
956U60MJ,1.0,0.0,0
093H78YO,0.0,1.0,1
569A32OL,0.0,1.0,1
480N62LZ,0.0,1.0,1
353H51TI,0.0,1.0,1
195W34QJ,1.0,0.0,0
831U92SH,0.0,1.0,1
441R09OK,1.0,0.0,0
786B52IZ,1.0,0.0,0
980S77GJ,0.0,1.0,1
102Q13SR,0.0,1.0,1
827V82PI,0.0,1.0,1
135G91SV,1.0,0.0,0
412E99PY,0.0,1.0,1
232P18YL,0.0,1.0,1
649A96HY,1.0,0.0,0
465V24NO,1.0,0.0,0
631R89FQ,1.0,0.0,0
576A68GA,0.0,1.0,1
575I71OL,0.0,1.0,1
518C11RM,0.0,1.0,1
112Y07FH,0.0,1.0,1
150Z57AP,0.0,1.0,1
152S93UQ,1.0,0.0,0
994M37SQ,0.0,1.0,1
810U07AP,1.0,0.0,0
196J43HG,0.0,1.0,1
278U04FL,1.0,0.0,0
789H68ES,0.0,1.0,1
659W69UD,0.0,1.0,1
463K05BV,0.0,1.0,1
519Y58YA,1.0,0.0,0
910H37XR,1.0,0.0,0
789P72ZR,1.0,0.0,0
291J02PI,0.0,1.0,1
832K77JR,1.0,0.0,0
468Q55ZT,1.0,0.0,0
357I19YK,1.0,0.0,0
088Y10ZQ,1.0,0.0,0
812Q79RW,0.0,1.0,1
860U82TH,1.0,0.0,0
929Q81CC,1.0,0.0,0
892C19QD,0.0,1.0,1
847S34UJ,1.0,0.0,0
737N63SE,1.0,0.0,0
283F66BS,1.0,0.0,0
293Q79KG,0.0,1.0,1
030E72PJ,0.0,1.0,1
533K88MW,1.0,0.0,0
572J73EY,1.0,0.0,0
696Z16RL,0.0,1.0,1
671W46EG,1.0,0.0,0
466W62BI,0.0,1.0,1
889H04DR,1.0,0.0,0
717E55HM,0.0,1.0,1
555R66LX,1.0,0.0,0
336V54YB,0.0,1.0,1
543H37TS,0.0,1.0,1
267B25LT,1.0,0.0,0
047O08YD,1.0,0.0,0
082G29VK,0.0,1.0,1
301N15YV,1.0,0.0,0
380C88IR,0.0,1.0,1
895V33HP,0.0,1.0,1
708G21IQ,1.0,0.0,0
368Y83XA,1.0,0.0,0
784W73GZ,1.0,0.0,0
885F16CX,0.0,1.0,1
580P16MO,0.0,1.0,1
962R65RI,0.0,1.0,1
464N43NC,1.0,0.0,0
479Q16HA,0.0,1.0,1
211E21GX,0.0,1.0,1
274R29XZ,1.0,0.0,0
358Z51YY,1.0,0.0,0
097J48SW,1.0,0.0,0
460P54ZS,1.0,0.0,0
652T32IR,1.0,0.0,0
571Q44MS,1.0,0.0,0
571U12QA,0.5,0.5,0
853A53JH,1.0,0.0,0
888B63JK,0.0,1.0,1
544W53KF,1.0,0.0,0
605Z19FF,1.0,0.0,0
197P95DL,1.0,0.0,0
324L81QP,0.0,1.0,1
997P70DI,1.0,0.0,0
218X02QL,1.0,0.0,0
769J33QW,0.0,1.0,1
980E04BC,0.0,1.0,1
080D58WD,0.0,1.0,1
559S28RR,1.0,0.0,0
929Q19IU,1.0,0.0,0
479R54RX,1.0,0.0,0
200G81LY,0.0,1.0,1
075E10YY,1.0,0.0,0
087H26MR,0.0,1.0,1
641C34HK,1.0,0.0,0
634X59PM,1.0,0.0,0
332O20VG,0.0,1.0,1
766A90VC,1.0,0.0,0
431Z54OF,1.0,0.0,0
588R07RF,1.0,0.0,0
969U31VG,0.0,1.0,1
022O97EE,0.0,1.0,1
273B01WE,0.0,1.0,1
293N28AW,0.0,1.0,1
279F54AP,0.0,1.0,1
874F73XI,1.0,0.0,0
251G52OZ,0.0,1.0,1
505D59RQ,0.0,1.0,1
809W74GF,1.0,0.0,0
024G27BQ,0.0,1.0,1
972S62HX,1.0,0.0,0
875H15ZF,0.5,0.5,0
054S03ZQ,0.0,1.0,1
763T68SS,1.0,0.0,0
060P72LB,1.0,0.0,0
325K25TO,0.0,1.0,1
660Y41ES,1.0,0.0,0
601E97BD,0.5,0.5,0
547I65ZB,1.0,0.0,0
032B19RK,0.0,1.0,1
343P91UR,0.0,1.0,1
512E01XL,1.0,0.0,0
191A70HO,0.0,1.0,1
926I32SW,0.0,1.0,1
059J89FO,1.0,0.0,0
656G28CL,1.0,0.0,0
050X41PC,1.0,0.0,0
102Q21IW,0.5,0.5,0
295O43LH,1.0,0.0,0
424N62CC,0.0,1.0,1
211X12CI,1.0,0.0,0
895J69GQ,0.0,1.0,1
184Q80FS,0.0,1.0,1
554O34HH,1.0,0.0,0
714H53JI,0.0,1.0,1
561M25SH,0.0,1.0,1
288B60PP,1.0,0.0,0
822K25RX,0.0,1.0,1
494T85UO,1.0,0.0,0
890U17BA,0.3333333333333333,0.6666666666666666,1
387G55CU,0.0,1.0,1
132N44IY,0.0,1.0,1
195O49DE,1.0,0.0,0
606L37TW,0.0,1.0,1
169B80AF,0.0,1.0,1
057L48OB,0.0,1.0,1
151W00QQ,0.0,1.0,1
663R97AX,0.5,0.5,0
776G17IK,1.0,0.0,0
859N78JP,1.0,0.0,0
249C54FT,0.0,1.0,1
741W79SS,0.0,1.0,1
693T78OV,0.0,1.0,1
219D04OS,1.0,0.0,0
942Q77ZR,0.0,1.0,1
453V89EU,0.5,0.5,0
541D08AE,0.0,1.0,1
842T03ML,0.0,1.0,1
335J17RV,1.0,0.0,0
707V23VO,1.0,0.0,0
127M14AQ,1.0,0.0,0
830Q14NM,0.0,1.0,1
821C74SP,0.0,1.0,1
793S25PH,1.0,0.0,0
409H50RC,1.0,0.0,0
755P48DS,1.0,0.0,0
937G56KS,1.0,0.0,0
759O38EG,1.0,0.0,0
542R80TN,0.0,1.0,1
074N63FT,1.0,0.0,0
253E78GL,1.0,0.0,0
786M86RR,1.0,0.0,0
261I01PL,0.0,1.0,1
463O39ZO,1.0,0.0,0
085L39ZU,0.0,1.0,1
049E92AJ,1.0,0.0,0
139S24PU,0.0,1.0,1
647P48PN,0.0,1.0,1
329T57NR,0.0,1.0,1
678W25IJ,1.0,0.0,0
066A38KD,1.0,0.0,0
950I47HW,0.0,1.0,1
504N90HT,1.0,0.0,0
039D20ZB,1.0,0.0,0
654K60TE,0.0,1.0,1
323L36SO,0.0,1.0,1
604R21JD,0.0,1.0,1
515H06FV,0.0,1.0,1
435K84OP,0.0,1.0,1
638Z53VD,0.0,1.0,1
239M49UD,1.0,0.0,0
024C28OS,1.0,0.0,0
077K62RH,1.0,0.0,0
277V00VM,0.0,1.0,1
249W32DK,0.5,0.5,0
881V67CR,0.0,1.0,1
640W96CQ,1.0,0.0,0
918B67UR,0.0,1.0,1
955J46BB,0.0,1.0,1
230G07UV,0.0,1.0,1
944H53NC,0.0,1.0,1
711S12DE,0.0,1.0,1
713X17XB,1.0,0.0,0
216M19NL,1.0,0.0,0
246F51WG,0.0,1.0,1
562Y32BI,1.0,0.0,0
208I59CS,1.0,0.0,0
068F58EV,1.0,0.0,0
868X69YQ,1.0,0.0,0
737Q35FZ,0.0,1.0,1
106C74GD,1.0,0.0,0
962I96BM,0.0,1.0,1
317H83HA,1.0,0.0,0
140H44SE,0.0,1.0,1
418R32FE,0.0,1.0,1
227E03TW,0.0,1.0,1
744D69JK,0.5,0.5,0
723P45RU,0.0,1.0,1
250U53BL,0.0,1.0,1
290A84OY,1.0,0.0,0
121V08FB,0.0,1.0,1
208O30CK,0.0,1.0,1
755D09ZX,1.0,0.0,0
410Q19IP,0.0,1.0,1
744K07AW,1.0,0.0,0
907W69AB,0.0,1.0,1
086C62XI,1.0,0.0,0
580F40YB,1.0,0.0,0
993F65NY,0.0,1.0,1
259S71RB,1.0,0.0,0
266I12QY,1.0,0.0,0
065X25KH,0.0,1.0,1
748W18PR,1.0,0.0,0
449J98TQ,0.0,1.0,1
308Q76KM,1.0,0.0,0
161V31KC,1.0,0.0,0
170O05XQ,1.0,0.0,0
836S67VT,1.0,0.0,0
233E55YU,1.0,0.0,0
593Y65HD,0.0,1.0,1
532W36PM,0.0,1.0,1
522N38OX,1.0,0.0,0
530P05IC,1.0,0.0,0
465C83VV,1.0,0.0,0
509L55EK,0.0,1.0,1
684M12WJ,1.0,0.0,0
297M03OE,0.0,1.0,1
964R64HZ,1.0,0.0,0
929I84PJ,0.0,1.0,1
850T90DG,0.0,1.0,1
148Z34ZG,1.0,0.0,0
573A92NU,1.0,0.0,0
463Y72XV,0.0,1.0,1
690E35JA,0.0,1.0,1
998X34PZ,0.0,1.0,1
584Y55XM,1.0,0.0,0
249W04WL,1.0,0.0,0
577M67MJ,0.0,1.0,1
029J69RC,0.0,1.0,1
485W90XG,1.0,0.0,0
515W26DJ,0.0,1.0,1
073N74TW,0.0,1.0,1
674S51DM,0.0,1.0,1
891C95ZO,0.0,1.0,1
832V55RA,0.0,1.0,1
105M25CH,0.0,1.0,1
612L40LN,1.0,0.0,0
660Y13EM,0.0,1.0,1
674K04HC,0.5,0.5,0
439O98ZQ,0.5,0.5,0
109J49WJ,1.0,0.0,0
627U80ZB,1.0,0.0,0
132F94MV,0.0,1.0,1
016Q89CQ,0.0,1.0,1
504M88KT,0.0,1.0,1
816H25MU,1.0,0.0,0
855P52YJ,0.0,1.0,1
311E63XX,1.0,0.0,0
284V74MY,1.0,0.0,0
932V17GH,1.0,0.0,0
394N23HG,0.0,1.0,1
187F20IN,1.0,0.0,0
199V95TV,1.0,0.0,0
075Y05LB,0.0,1.0,1
193X82CF,1.0,0.0,0
239N93KW,1.0,0.0,0
539R52DG,0.0,1.0,1
850Y39QY,0.0,1.0,1
818C89JP,1.0,0.0,0
438U23EY,1.0,0.0,0
666G46ZW,1.0,0.0,0
273S39ED,1.0,0.0,0
419I73TG,1.0,0.0,0
424U94UL,1.0,0.0,0
943P63KS,0.0,1.0,1
720A28QE,1.0,0.0,0
915A28CV,1.0,0.0,0
858P35UX,1.0,0.0,0
694Y59AL,1.0,0.0,0
897C59UU,1.0,0.0,0
124U73XX,1.0,0.0,0
282I74UJ,1.0,0.0,0
385T74OE,1.0,0.0,0
800C13MR,0.0,1.0,1
793V28FH,1.0,0.0,0
028T48GA,0.0,1.0,1
242I70CC,0.0,1.0,1
873H64EP,1.0,0.0,0
466L59HO,0.0,1.0,1
526H46KD,1.0,0.0,0
040D49LL,0.0,1.0,1
321S04PM,0.5,0.5,0
924L40IK,1.0,0.0,0
140Z61QD,1.0,0.0,0
891Q30AM,0.0,1.0,1
110Y57AV,1.0,0.0,0
695H37TJ,0.0,1.0,1
627M28BJ,0.0,1.0,1
175M66TA,0.0,1.0,1
024F57MB,1.0,0.0,0
559P94CD,1.0,0.0,0
272E86GR,0.0,1.0,1
040M35CB,0.0,1.0,1
832M41WR,0.3333333333333333,0.6666666666666666,1
876G64EK,0.0,1.0,1
297D83SJ,1.0,0.0,0
584B92GL,1.0,0.0,0
362A08ZH,0.0,1.0,1
589Z52CM,0.0,1.0,1
929J09AU,0.0,1.0,1
620P05BA,0.0,1.0,1
061V46SD,0.0,1.0,1
355N95RZ,0.0,1.0,1
926Q44CQ,0.0,1.0,1
506X31CJ,1.0,0.0,0
085Y90HN,1.0,0.0,0
530Q35QP,0.0,1.0,1
376Z72IJ,0.0,1.0,1
570W70LJ,0.0,1.0,1
848B94RX,0.0,1.0,1
053V52BH,0.0,1.0,1
705K40KU,1.0,0.0,0
355G60QJ,0.0,1.0,1
691W89CO,1.0,0.0,0
096T32TG,1.0,0.0,0
778J82MB,0.0,1.0,1
838Z94CK,1.0,0.0,0
724F73ZM,0.0,1.0,1
948L39BV,1.0,0.0,0
592K14GT,0.0,1.0,1
339U46WC,1.0,0.0,0
717Y30MJ,1.0,0.0,0
306S73VY,1.0,0.0,0
375R61EH,0.0,1.0,1
608I04DX,0.0,1.0,1
267X65ZF,1.0,0.0,0
426P80UP,0.0,1.0,1
148L46QV,1.0,0.0,0
549B55KH,1.0,0.0,0
017H45RX,0.0,1.0,1
971D86LL,1.0,0.0,0
909K81NG,0.0,1.0,1
322M86CJ,0.0,1.0,1
337V29OI,1.0,0.0,0
502G32WR,1.0,0.0,0
547W37XX,1.0,0.0,0
874O97MU,1.0,0.0,0
847L54OY,0.0,1.0,1
332J07YB,1.0,0.0,0
825W36GM,1.0,0.0,0
827L79QB,1.0,0.0,0
151Y28HW,0.0,1.0,1
035G72EP,0.0,1.0,1
876K91EO,0.0,1.0,1
329D62YP,1.0,0.0,0
710M64TU,1.0,0.0,0
263P59JE,1.0,0.0,0
641D64NR,1.0,0.0,0
093L86PW,1.0,0.0,0
759K39KY,1.0,0.0,0
612H23PS,0.0,1.0,1
090L46BZ,0.0,1.0,1
169Q90VW,1.0,0.0,0
188P13QW,1.0,0.0,0
729M08OK,0.0,1.0,1
402I44UE,1.0,0.0,0
682V07FP,0.0,1.0,1
609U41VJ,0.0,1.0,1
640T00PV,1.0,0.0,0
818P63HA,0.0,1.0,1
203E78KP,0.0,1.0,1
843D66VF,1.0,0.0,0
567I15XQ,1.0,0.0,0
173H94LS,0.5,0.5,0
514I87TK,1.0,0.0,0
313L81FM,0.0,1.0,1
547M51MJ,0.0,1.0,1
068G21CU,1.0,0.0,0
463G64IZ,1.0,0.0,0
702A38NU,0.0,1.0,1
194T48OQ,1.0,0.0,0
898S99KH,0.0,1.0,1
426S35MI,1.0,0.0,0
854I40AH,1.0,0.0,0
870B28YE,1.0,0.0,0
199Q25UA,0.0,1.0,1
655R54KQ,0.0,1.0,1
760I93NM,1.0,0.0,0
409E71XV,1.0,0.0,0
254W13BG,0.0,1.0,1
129C22IK,0.0,1.0,1
235B63KJ,0.0,1.0,1
268Y42BZ,1.0,0.0,0
552D27JZ,1.0,0.0,0
837L56ZA,0.0,1.0,1
245B38KU,1.0,0.0,0
298E87EO,1.0,0.0,0
874U28SK,0.0,1.0,1
738J66ZM,1.0,0.0,0
622M80MI,0.0,1.0,1
542P89PB,1.0,0.0,0
461Z73YC,1.0,0.0,0
963A52WR,0.0,1.0,1
341T29KA,1.0,0.0,0
122Z95OK,1.0,0.0,0
948R89CZ,0.0,1.0,1
327L20AS,0.0,1.0,1
600N47ZS,0.0,1.0,1
257L57GF,1.0,0.0,0
523P34LE,1.0,0.0,0
527G67EE,1.0,0.0,0
949F68BV,0.0,1.0,1
080U09WT,1.0,0.0,0
665Z65MK,0.5,0.5,0
632K03KI,0.0,1.0,1
661R44KN,0.3333333333333333,0.6666666666666666,1
358D46FB,0.0,1.0,1
401G46SR,1.0,0.0,0
139G45EQ,0.0,1.0,1
752W76NW,0.0,1.0,1
054X42GA,0.0,1.0,1
259S37PF,1.0,0.0,0
241P03MF,1.0,0.0,0
917G04SH,0.0,1.0,1
909I90LG,0.0,1.0,1
259I61YL,1.0,0.0,0
056P53CR,0.0,1.0,1
559V48BJ,0.0,1.0,1
990F63QT,0.0,1.0,1
034O79NB,0.0,1.0,1
518F36JA,0.0,1.0,1
695A68FD,0.0,1.0,1
469G18ZA,0.0,1.0,1
760P17IT,1.0,0.0,0
274U38AG,1.0,0.0,0
971Z47MP,0.5,0.5,0
126I37BC,0.5,0.5,0
350G96KE,1.0,0.0,0
916S35MW,0.0,1.0,1
481Z96NE,1.0,0.0,0
463L14EU,1.0,0.0,0
409G61JI,0.0,1.0,1
321X74MQ,0.0,1.0,1
261L49PE,1.0,0.0,0
447M75HH,1.0,0.0,0
653S41WQ,0.5,0.5,0
245E48DR,0.0,1.0,1
940E02KG,1.0,0.0,0
200W55QN,0.0,1.0,1
039G86VO,1.0,0.0,0
074V59KR,1.0,0.0,0
094G20BJ,1.0,0.0,0
069M43JU,0.0,1.0,1
178V36FV,1.0,0.0,0
561O14EQ,0.0,1.0,1
682E52VP,1.0,0.0,0
206I59TE,0.0,1.0,1
760Y58QR,0.0,1.0,1
348H57ZN,0.0,1.0,1
626E01PL,0.0,1.0,1
431Z84FC,1.0,0.0,0
507M39AA,0.0,1.0,1
475D15SH,0.0,1.0,1
295O06AG,0.0,1.0,1
577B95WY,0.0,1.0,1
357F00WV,1.0,0.0,0
254F09BZ,1.0,0.0,0
667F65UX,0.0,1.0,1
754Q43JH,1.0,0.0,0
088K70RM,1.0,0.0,0
584V52PT,1.0,0.0,0
283T67UA,1.0,0.0,0
285S55OT,1.0,0.0,0
647B36MO,0.0,1.0,1
594V65QJ,0.0,1.0,1
040V17XD,1.0,0.0,0
635E57ZI,0.0,1.0,1
898W56BJ,0.0,1.0,1
815J09WS,0.0,1.0,1
109Q13XD,1.0,0.0,0
133D75YM,1.0,0.0,0
740L74VG,0.0,1.0,1
243C38HZ,0.0,1.0,1
051U49XO,0.0,1.0,1
398R49FF,1.0,0.0,0
675O95PR,1.0,0.0,0
660E53NO,0.5,0.5,0
710J44XO,1.0,0.0,0
264B63WN,1.0,0.0,0
905I36AR,0.0,1.0,1
570S83MM,1.0,0.0,0
438O84IH,1.0,0.0,0
016Y41EQ,0.0,1.0,1
292J73PM,0.0,1.0,1
425H08ZF,1.0,0.0,0
844A03RF,1.0,0.0,0
019X15OI,0.0,1.0,1
183Q56KK,0.0,1.0,1
616T89SD,1.0,0.0,0
015D26ML,1.0,0.0,0
841L06XZ,1.0,0.0,0
996C35RE,0.0,1.0,1
148K59PS,0.0,1.0,1
362G85VW,1.0,0.0,0
981B30HI,0.0,1.0,1
